place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere,to_be_removed
,,,,,,confused order taker uncomfortable aura,,,,Negative,Negative,
,,,,,,unflavorful vegetables hostile online support unbalanced tone,,,Negative,Negative,Negative,
,,,,,,dismissive chef unbalanced vibe,,,,Negative,Negative,
,,,,,,mushy course disrespectful service representative cold coziness,,,Negative,Negative,Negative,
,,,,,,inattentive customer support harsh style,,,,Negative,Negative,
,,,,,,slimy dinner clumsy chef unpleasant energy,,,Negative,Negative,Negative,
,,,,,,arrogant helper bland style,,,,Negative,Negative,
,,,,,,burnt quiche unaccommodating staff overcrowded mood,,,Negative,Negative,Negative,
,,,,,,irritating staff awkward surroundings,,,,Negative,Negative,
,,,,,,stale brunch unhelpful telephonic service stressful space,,,Negative,Negative,Negative,
,,,,,,dull charm,,,,,Negative,
,,,,,,stinky platter inattentive server noisy structure,,,Negative,Negative,Negative,
,,,,,,unpolished layout,,,,,Negative,
,,,,,,underseasoned fish and chips awkward staff bland style,,,Negative,Negative,Negative,
,,,,,,awkward temperature,,,,,Negative,
,,,,,,smelly snack untrustworthy concierge chaotic design,,,Negative,Negative,Negative,
,,,,,,dull lighting,,,,,Negative,
,,,,,,spoiled vegetables awkward automated service uninspiring furniture,,,Negative,Negative,Negative,
,,,,,,stale space,,,,,Negative,
,,,,,,disappointing fish unaccommodating concierge disorienting ambience,,,Negative,Negative,Negative,
,,,,,,unromantic feelings,,,,,Negative,
,,,,,,overcooked wrap unaccommodating manager sterile style,,,Negative,Negative,Negative,
,,,,,,unfriendly design,,,,,Negative,
,,,,,,tasteless sausages unaware service representative uncomfortable surroundings,,,Negative,Negative,Negative,
,,,,,,unbalanced furnishing,,,,,Negative,
,,,,,,undercooked quiche unpleasant receptionist depressing space,,,Negative,Negative,Negative,
,,,,,,unsophisticated structure,,,,,Negative,
,,,,,,sour picnic unhelpful reservation harsh lighting acoustics,,,Negative,Negative,Negative,
,,,,,,unrelaxed sight,,,,,Negative,
,,,,,,tough pancakes nonchalant team member unwelcoming vibe,,,Negative,Negative,Negative,
,,,,,,unrelaxed space,,,,,Negative,
,,,,,,undercooked noodles incompetent clerk cluttered feelings,,,Negative,Negative,Negative,
,,,,,,unrelaxed charm,,,,,Negative,
,,,,,,salty sausages unpleasant virtual assistant unsophisticated feelings,,,Negative,Negative,Negative,
,,,,,,uninviting background,,,,,Negative,
,,,,,,sour fried rice disengaged account manager isolated space,,,Negative,Negative,Negative,
,,,,,,unromantic outdoor,,,,,Negative,
,,,,,,disappointing dessert unhelpful service desk unpleasant outlook,,,Negative,Negative,Negative,
,,,,,,stressful charm,,,,,Negative,
,,,,,,unseasoned noodles inadequate bellboy soulless acoustics,,,Negative,Negative,Negative,
,,,,,,stuffy warmth,,,,,Negative,
,,,,,,awful fish rude housekeeper unappealing coziness,,,Negative,Negative,Negative,
,,,,,,unfriendly feelings,,,,,Negative,
,,,,,,flavorless bread disrespectful online support unpolished style,,,Negative,Negative,Negative,
,,,,,,overcrowded visuals,,,,,Negative,
,,,,,,soggy pancakes disrespectful technician cold decor,,,Negative,Negative,Negative,
,,,,,,boring visuals,,,,,Negative,
,,,,,,tasteless guacamole unconsiderate chef dirty interior,,,Negative,Negative,Negative,
,,,,,,disorienting design,,,,,Negative,
,,,,,,overcooked appetizer poor order confirmation bland background,,,Negative,Negative,Negative,
,,,,,,depressing aura,,,,,Negative,
,,,,,,soggy pasta unskilled attendant unappealing feel,,,Negative,Negative,Negative,
,,,,,,harsh outlook,,,,,Negative,
,,,,,,sour quinoa inattentive waitperson uninviting outdoor,,,Negative,Negative,Negative,
,,,,,,dirty furniture,,,,,Negative,
,,,,,,greasy sushi rolls slow bartender shabby space,,,Negative,Negative,Negative,
,,,,,,uncomfortable interior,,,,,Negative,
,,,,,,unseasoned dinner unconsiderate digital assistant unwelcoming furnishing,,,Negative,Negative,Negative,
,,,,,,uncomfortable aura,,,,,Negative,
,,,,,,inadequate entree disengaged chef disagreeable decor,,,Negative,Negative,Negative,
,,,,,,oppressive mood,,,,,Negative,
,,,,,,bitter pancakes disorganized support stressful decor,,,Negative,Negative,Negative,
,,,,,,cold aura,,,,,Negative,
,,,,,,slimy lunch unpleasant waitress unpleasant background,,,Negative,Negative,Negative,
,,,,,,unpolished aura,,,,,Negative,
,,,,,,over-sweetened pasta salad awkward hostess awkward art,,,Negative,Negative,Negative,
,,,,,,too bright furnishing,,,,,Negative,
,,,,,,awful beverage unpleasant live chat unwelcoming ambience,,,Negative,Negative,Negative,
,,,,,,noisy acoustics,,,,,Negative,
,,,,,,bland fish and chips unskilled order tracking unwelcoming air,,,Negative,Negative,Negative,
,,,,,,chaotic vibe,,,,,Negative,
,,,,,,rubbery pasta clumsy team bland style,,,Negative,Negative,Negative,
,,,,,,unsophisticated setting,,,,,Negative,
,,,,,,stinky appetizer unpleasant help desk uninviting ambience,,,Negative,Negative,Negative,
,,,,,,unfriendly space,,,,,Negative,
,,,,,,burnt coffee inattentive call center stuffy background,,,Negative,Negative,Negative,
,,,,,,unpleasant art,,,,,Negative,
,,,,,,underseasoned concoction untrustworthy customer care too loud outdoor,,,Negative,Negative,Negative,
,,,,,,noisy layout,,,,,Negative,
,,,,,,bitter pie cold manager noisy outdoor,,,Negative,Negative,Negative,
,,,,,,unsightly ambiance,,,,,Negative,
,,,,,,mediocre banquet poor order processing unwelcoming ambiance,,,Negative,Negative,Negative,
,,,,,,bland aura,,,,,Negative,
,,,,,,stringy treat dismissive waitperson unwelcoming aura,,,Negative,Negative,Negative,
,,,,,,disagreeable ambience,,,,,Negative,
,,,,,,mushy beverage disinterested delivery service chaotic tone,,,Negative,Negative,Negative,
,,,,,,unrelaxed sight,,,,,Negative,
,,,,,,unpleasant tea inefficient order confirmation stale visuals,,,Negative,Negative,Negative,
,,,,,,shabby furnishing,,,,,Negative,
,,,,,,unflavorful sausages rude dishwasher unappealing energy,,,Negative,Negative,Negative,
,,,,,,unrelaxed hospitality,,,,,Negative,
,,,,,,cold pasta salad insincere concierge cold comfort,,,Negative,Negative,Negative,
,,,,,,unfriendly decor,,,,,Negative,
,,,,,,disappointing tofu awkward online support unpleasant charm,,,Negative,Negative,Negative,
,,,,,,unpleasant hospitality,,,,,Negative,
,,,,,,smelly fish overwhelmed online ordering overcrowded feel,,,Negative,Negative,Negative,
,,,,,,gloomy structure,,,,,Negative,
,,,,,,over-sweetened fruit unresponsive waiter stuffy aura,,,Negative,Negative,Negative,
,,,,,,harsh lighting coziness,,,,,Negative,
,,,,,,disappointing muffin disorganized online support unsophisticated charm,,,Negative,Negative,Negative,
,,,,,,unromantic background,,,,,Negative,
,,,,,,undercooked cocktail dismissive account manager boring outdoor,,,Negative,Negative,Negative,
,,,,,,unbalanced surroundings,,,,,Negative,
,,,,,,smelly platter dismissive pickup service unsophisticated furniture,,,Negative,Negative,Negative,
,,,,,,stressful environment,,,,,Negative,
,,,,,,inadequate sushi unresponsive support hotline soulless lighting,,,Negative,Negative,Negative,
,,,,,,unfriendly mood,,,,,Negative,
,,,,,,mushy rice unhelpful waiter gloomy hospitality,,,Negative,Negative,Negative,
,,,,,,shabby environment,,,,,Negative,
,,,,,,bland salad cold reservation unsightly style,,,Negative,Negative,Negative,
,,,,,,cold temperature,,,,,Negative,
,,,,,,slimy salad unprofessional online ordering unpleasant tone,,,Negative,Negative,Negative,
,,,,,,soulless vibe,,,,,Negative,
,,,,,,smelly snack unreliable service representative uninviting atmosphere,,,Negative,Negative,Negative,
,,,,,,harsh space,,,,,Negative,
,,,,,,unfresh dessert inadequate cleaner unwelcoming outlook,,,Negative,Negative,Negative,
,,,,,,disorienting indoor,,,,,Negative,
,,,,,,unseasoned breakfast overworked online ordering unfriendly outlook,,,Negative,Negative,Negative,
,,,,,,unwelcoming space,,,,,Negative,
,,,,,,spoiled soup unprofessional delivery noisy hospitality,,,Negative,Negative,Negative,
,,,,,,stressful outdoor,,,,,Negative,
,,,,,,greasy ice cream inadequate staff cluttered charm,,,Negative,Negative,Negative,
,,,,,,noisy charm,,,,,Negative,
,,,,,,over-sweetened gravy slow order tracking isolated acoustics,,,Negative,Negative,Negative,
,,,,,,unwelcoming feel,,,,,Negative,
,,,,,,mediocre platter awkward waitperson harsh lighting visuals,,,Negative,Negative,Negative,
,,,,,,isolated view,,,,,Negative,
,,,,,,bland dish impolite phone ordering dull vibration,,,Negative,Negative,Negative,
,,,,,,dirty warmth,,,,,Negative,
,,,,,,bitter noodles clumsy delivery person too loud space,,,Negative,Negative,Negative,
,,,,,,overcrowded vibration,,,,,Negative,
,,,,,,undercooked meal unprofessional waiter unsophisticated background,,,Negative,Negative,Negative,
,,,,,,chaotic vibe,,,,,Negative,
,,,,,,unfresh entrée hasty delivery unsightly furnishing,,,Negative,Negative,Negative,
,,,,,,dull acoustics,,,,,Negative,
,,,,,,disgusting fish and chips disrespectful support uncomfortable charm,,,Negative,Negative,Negative,
,,,,,,harsh lighting acoustics,,,,,Negative,
,,,,,,gross juice unpleasant support oppressive aura,,,Negative,Negative,Negative,
,,,,,,shabby structure,,,,,Negative,
,,,,,,tough banquet hostile live chat uninspiring tone,,,Negative,Negative,Negative,
,,,,,,unromantic comfort,,,,,Negative,
,,,,,,over-sweetened pie unaccommodating delivery unsophisticated room,,,Negative,Negative,Negative,
,,,,,,awkward feel,,,,,Negative,
,,,,,,burnt tea unskilled receptionist too loud charm,,,Negative,Negative,Negative,
,,,,,,unwelcoming space,,,,,Negative,
,,,,,,salty course impolite support agent disorienting room,,,Negative,Negative,Negative,
,,,,,,dirty charm,,,,,Negative,
,,,,,,underseasoned ice cream annoying manager disorienting comfort,,,Negative,Negative,Negative,
,,,,,,unfriendly aura,,,,,Negative,
,,,,,,stringy hamburger careless team member uncomfortable furnishing,,,Negative,Negative,Negative,
,,,,,,dark space,,,,,Negative,
,,,,,,bitter curry inefficient technician uninviting charm,,,Negative,Negative,Negative,
,,,,,,unbalanced art,,,,,Negative,
,,,,,,rotten casserole hasty service desk stale furnishing,,,Negative,Negative,Negative,
,,,,,,unappealing charm,,,,,Negative,
,,,,,,unappetizing sandwich impolite online support sterile outlook,,,Negative,Negative,Negative,
,,,,,,isolated furniture,,,,,Negative,
,,,,,,tasteless dish awkward service desk gloomy surroundings,,,Negative,Negative,Negative,
,,,,,,uncomfortable setting,,,,,Negative,
,,,,,,too salty lasagna hasty waitress dark vibration,,,Negative,Negative,Negative,
,,,,,,noisy feel,,,,,Negative,
,,,,,,spoiled dinner dismissive bartender unfriendly ambience,,,Negative,Negative,Negative,
,,,,,,sterile environment,,,,,Negative,
,,,,,,unseasoned side dish hasty delivery too loud setting,,,Negative,Negative,Negative,
,,,,,,overcrowded outdoor,,,,,Negative,
,,,,,,bitter dish unpleasant caregiver gloomy tone,,,Negative,Negative,Negative,
,,,,,,shabby mood,,,,,Negative,
,,,,,,unrefined potatoes unpleasant guide noisy air,,,Negative,Negative,Negative,
,,,,,,disagreeable coziness,,,,,Negative,
,,,,,,underseasoned fish and chips impolite customer care unsightly space,,,Negative,Negative,Negative,
,,,,,,overcrowded space,,,,,Negative,
,,,,,,awful waffles dismissive host chaotic feel,,,Negative,Negative,Negative,
,,,,,,unrelaxed view,,,,,Negative,
,,,,,,unhealthy quinoa disengaged e-commerce dark outlook,,,Negative,Negative,Negative,
,,,,,,disorienting mood,,,,,Negative,
,,,,,,slimy curry unskilled support agent dark feel,,,Negative,Negative,Negative,
,,,,,,noisy room,,,,,Negative,
,,,,,,rubbery spaghetti poor housekeeper unappealing vibe,,,Negative,Negative,Negative,
,,,,,,depressing outdoor,,,,,Negative,
,,,,,,undercooked dish unhelpful helper unromantic air,,,Negative,Negative,Negative,
,,,,,,unpolished style,,,,,Negative,
,,,,,,gummy brunch disengaged service desk uninviting mood,,,Negative,Negative,Negative,
,,,,,,harsh environment,,,,,Negative,
,,,,,,too salty guacamole inattentive cleaner soulless hospitality,,,Negative,Negative,Negative,
,,,,,,dark space,,,,,Negative,
,,,,,,unseasoned hamburger insincere bartender uncomfortable warmth,,,Negative,Negative,Negative,
,,,,,,noisy outdoor,,,,,Negative,
,,,,,,spoiled quinoa unfriendly waitress cluttered space,,,Negative,Negative,Negative,
,,,,,,oppressive vibe,,,,,Negative,
,,,,,,cold entree unprofessional clerk unwelcoming art,,,Negative,Negative,Negative,
,,,,,,bland background,,,,,Negative,
,,,,,,spoiled beverage nonchalant caregiver dark outdoor,,,Negative,Negative,Negative,
,,,,,,stale art,,,,,Negative,
,,,,,,stale banquet unaware maintenance dirty aura,,,Negative,Negative,Negative,
,,,,,,uncomfortable lighting,,,,,Negative,
,,,,,,spoiled side dish rude helper uninviting air,,,Negative,Negative,Negative,
,,,,,,unwelcoming acoustics,,,,,Negative,
,,,,,,unhealthy vegetables cold customer service sterile charm,,,Negative,Negative,Negative,
,,,,,,gloomy comfort,,,,,Negative,
,,,,,,undercooked juice unpleasant order confirmation uninviting view,,,Negative,Negative,Negative,
,,,,,,oppressive feelings,,,,,Negative,
,,,,,,spoiled quiche distracting chatbot unwelcoming ambiance,,,Negative,Negative,Negative,
,,,,,,unpleasant furniture,,,,,Negative,
,,,,,,stinky potatoes unpleasant helper cold atmosphere,,,Negative,Negative,Negative,
,,,,,,gloomy outdoor,,,,,Negative,
,,,,,,spoiled pasta salad hasty waitress dull furnishing,,,Negative,Negative,Negative,
,,,,,,unwelcoming music,,,,,Negative,
,,,,,,soggy salad incompetent pickup service stuffy space,,,Negative,Negative,Negative,
,,,,,,dull tone,,,,,Negative,
,,,,,,unrefined rice clumsy waitstaff unpolished furniture,,,Negative,Negative,Negative,
,,,,,,too loud design,,,,,Negative,
,,,,,,smelly tacos disrespectful attendant unpleasant temperature,,,Negative,Negative,Negative,
,,,,,,uncomfortable outlook,,,,,Negative,
,,,,,,spoiled potatoes overworked online ordering chaotic atmosphere,,,Negative,Negative,Negative,
,,,,,,chaotic decor,,,,,Negative,
,,,,,,dry gravy disrespectful staff unpleasant charm,,,Negative,Negative,Negative,
,,,,,,unrelaxed mood,,,,,Negative,
,,,,,,gross muffin disinterested online support cluttered feel,,,Negative,Negative,Negative,
,,,,,,uninspiring environment,,,,,Negative,
,,,,,,sour rice confused security dirty lighting,,,Negative,Negative,Negative,
,,,,,,cold room,,,,,Negative,
,,,,,,bland tea untrustworthy dishwasher dirty comfort,,,Negative,Negative,Negative,
,,,,,,stuffy acoustics,,,,,Negative,
,,,,,,tough hamburger hostile order confirmation isolated view,,,Negative,Negative,Negative,
,,,,,,unsightly charm,,,,,Negative,
,,,,,,too salty platter overwhelmed caregiver unpolished coziness,,,Negative,Negative,Negative,
,,,,,,unrelaxed ambiance,,,,,Negative,
,,,,,,slimy spaghetti unpleasant receptionist unromantic room,,,Negative,Negative,Negative,
,,,,,,unwelcoming layout,,,,,Negative,
,,,,,,bitter side dish overwhelmed chef boring setting,,,Negative,Negative,Negative,
,,,,,,isolated visuals,,,,,Negative,
,,,,,,unhealthy breakfast overworked hostess harsh charm,,,Negative,Negative,Negative,
,,,,,,shabby aura,,,,,Negative,
,,,,,,stale feast unpleasant room service uninspiring art,,,Negative,Negative,Negative,
,,,,,,harsh lighting warmth,,,,,Negative,
,,,,,,cold dinner hostile maintenance unromantic outdoor,,,Negative,Negative,Negative,
,,,,,,unpleasant space,,,,,Negative,
,,,,,,greasy cake overbearing order confirmation sterile outdoor,,,Negative,Negative,Negative,
,,,,,,cold setting,,,,,Negative,
,,,,,,soggy soup annoying staff uncomfortable feel,,,Negative,Negative,Negative,
,,,,,,stale layout,,,,,Negative,
,,,,,,underseasoned juice slow support hotline cold acoustics,,,Negative,Negative,Negative,
,,,,,,unpleasant ambiance,,,,,Negative,
,,,,,,rubbery hamburger disorganized telephonic service harsh lighting charm,,,Negative,Negative,Negative,
,,,,,,isolated mood,,,,,Negative,
,,,,,,rotten chips cold security noisy charm,,,Negative,Negative,Negative,
,,,,,,soulless tone,,,,,Negative,
,,,,,,mushy muffin disengaged guide cold background,,,Negative,Negative,Negative,
,,,,,,unwelcoming feel,,,,,Negative,
,,,,,,tasteless casserole unpleasant account manager unsophisticated atmosphere,,,Negative,Negative,Negative,
,,,,,,isolated ambiance,,,,,Negative,
,,,,,,stringy steak overwhelmed guide too loud atmosphere,,,Negative,Negative,Negative,
,,,,,,uncomfortable sight,,,,,Negative,
,,,,,,spoiled ice cream hasty service desk sterile aura,,,Negative,Negative,Negative,
,,,,,,unfriendly ambiance,,,,,Negative,
,,,,,,rotten delicacy disinterested host uncomfortable vibration,,,Negative,Negative,Negative,
,,,,,,cold music,,,,,Negative,
,,,,,,gummy steak unhelpful help desk uninviting music,,,Negative,Negative,Negative,
,,,,,,depressing temperature,,,,,Negative,
,,,,,,spoiled vegetables unhelpful order processing uncomfortable layout,,,Negative,Negative,Negative,
,,,,,,uncomfortable style,,,,,Negative,
,,,,,,spoiled muffin nonchalant check-in chaotic layout,,,Negative,Negative,Negative,
,,,,,,unpolished environment,,,,,Negative,
,,,,,,dry delicacy inefficient manager unpleasant environment,,,Negative,Negative,Negative,
,,,,,,stuffy lighting,,,,,Negative,
,,,,,,spoiled quinoa hostile delivery service unfriendly background,,,Negative,Negative,Negative,
,,,,,,harsh lighting sight,,,,,Negative,
,,,,,,too salty lunch unprofessional helper soulless space,,,Negative,Negative,Negative,
,,,,,,unrelaxed vibe,,,,,Negative,
,,,,,,dry soup unpleasant team noisy setting,,,Negative,Negative,Negative,
,,,,,,uncomfortable hospitality,,,,,Negative,
,,,,,,inadequate fruit disorganized delivery chaotic music,,,Negative,Negative,Negative,
,,,,,,cold feelings,,,,,Negative,
,,,,,,soggy sandwich overbearing busboy unpolished style,,,Negative,Negative,Negative,
,,,,,,awkward ambiance,,,,,Negative,
,,,,,,spoiled cake disrespectful room service shabby music,,,Negative,Negative,Negative,
,,,,,,uninspiring layout,,,,,Negative,
,,,,,,gummy sandwich clumsy customer service stressful surroundings,,,Negative,Negative,Negative,
,,,,,,cluttered style,,,,,Negative,
,,,,,,disgusting dish unconsiderate guide uncomfortable room,,,Negative,Negative,Negative,
,,,,,,unpleasant space,,,,,Negative,
,,,,,,too salty sushi rolls dismissive security too bright vibration,,,Negative,Negative,Negative,
,,,,,,uninspiring furniture,,,,,Negative,
,,,,,,unripe cocktail unaware caretaker oppressive structure,,,Negative,Negative,Negative,
,,,,,,unwelcoming space,,,,,Negative,
,,,,,,flavorless lunch inefficient host soulless space,,,Negative,Negative,Negative,
,,,,,,unromantic vibe,,,,,Negative,
,,,,,,spoiled vegetables disengaged waitress unfriendly indoor,,,Negative,Negative,Negative,
,,,,,,oppressive energy,,,,,Negative,
,,,,,,smelly treat awkward telephonic service unromantic room,,,Negative,Negative,Negative,
,,,,,,disorienting setting,,,,,Negative,
,,,,,,cold chocolate disrespectful support hotline chaotic music,,,Negative,Negative,Negative,
,,,,,,unsophisticated hospitality,,,,,Negative,
,,,,,,tasteless concoction distracting online support uncomfortable tone,,,Negative,Negative,Negative,
,,,,,,sterile design,,,,,Negative,
,,,,,,dry rice unaccommodating waitperson disorienting sight,,,Negative,Negative,Negative,
,,,,,,cold mood,,,,,Negative,
,,,,,,unhealthy soup poor manager noisy mood,,,Negative,Negative,Negative,
,,,,,,uncomfortable interior,,,,,Negative,
,,,,,,unflavorful tea unaware clerk bland visuals,,,Negative,Negative,Negative,
,,,,,,uncomfortable coziness,,,,,Negative,
,,,,,,sour guacamole disrespectful chatbot uncomfortable feelings,,,Negative,Negative,Negative,
,,,,,,cluttered room,,,,,Negative,
,,,,,,spoiled buffet inefficient caregiver shabby surroundings,,,Negative,Negative,Negative,
,,,,,,stuffy aura,,,,,Negative,
,,,,,,spoiled quiche incompetent e-commerce harsh lighting mood,,,Negative,Negative,Negative,
,,,,,,uninviting warmth,,,,,Negative,
,,,,,,salty side dish unreliable automated service uninviting setting,,,Negative,Negative,Negative,
,,,,,,unbalanced furniture,,,,,Negative,
,,,,,,dry cake annoying assistant boring sight,,,Negative,Negative,Negative,
,,,,,,unwelcoming art,,,,,Negative,
,,,,,,too salty burger unpleasant telephonic service uninspiring background,,,Negative,Negative,Negative,
,,,,,,chaotic hospitality,,,,,Negative,
,,,,,,stringy potatoes nonchalant manager too bright mood,,,Negative,Negative,Negative,
,,,,,,chaotic hospitality,,,,,Negative,
,,,,,,rotten noodles slow helper unpleasant furniture,,,Negative,Negative,Negative,
,,,,,,chaotic air,,,,,Negative,
,,,,,,greasy pancakes unreliable live chat unrelaxed mood,,,Negative,Negative,Negative,
,,,,,,unsightly warmth,,,,,Negative,
,,,,,,spoiled snack inadequate host stuffy music,,,Negative,Negative,Negative,
,,,,,,unpolished sound,,,,,Negative,
,,,,,,unhealthy quiche hasty waitperson chaotic vibe,,,Negative,Negative,Negative,
,,,,,,noisy mood,,,,,Negative,
,,,,,,bitter noodles disengaged busboy harsh temperature,,,Negative,Negative,Negative,
,,,,,,chaotic energy,,,,,Negative,
,,,,,,stringy cake unhelpful staff uncomfortable room,,,Negative,Negative,Negative,
,,,,,,stressful setting,,,,,Negative,
,,,,,,mushy sushi unhelpful team uncomfortable tone,,,Negative,Negative,Negative,
,,,,,,awkward atmosphere,,,,,Negative,
,,,,,,mediocre tacos inattentive delivery person unwelcoming space,,,Negative,Negative,Negative,
,,,,,,cluttered setting,,,,,Negative,
,,,,,,dry rice untrustworthy hostess cluttered sound,,,Negative,Negative,Negative,
,,,,,,unsightly tone,,,,,Negative,
,,,,,,bitter noodles distracting check-in oppressive design,,,Negative,Negative,Negative,
,,,,,,unpleasant environment,,,,,Negative,
,,,,,,overly greasy wrap unpleasant valet unromantic space,,,Negative,Negative,Negative,
,,,,,,unsophisticated style,,,,,Negative,
,,,,,,smelly pancakes disengaged host harsh style,,,Negative,Negative,Negative,
,,,,,,depressing ambience,,,,,Negative,
,,,,,,unflavorful course disorganized support noisy coziness,,,Negative,Negative,Negative,
,,,,,,isolated music,,,,,Negative,
,,,,,,rotten fish unhelpful busboy unappealing warmth,,,Negative,Negative,Negative,
,,,,,,disagreeable charm,,,,,Negative,
,,,,,,undercooked snack nonchalant support beautiful outlook,,,Negative,Negative,Positive,
,,,,,,boring interior,,,,,Negative,
,,,,,,underseasoned rice cold chef fresh acoustics,,,Negative,Negative,Positive,
,,,,,,unsightly temperature,,,,,Negative,
,,,,,,greasy casserole unpleasant pickup service chic design,,,Negative,Negative,Positive,
,,,,,,unwelcoming aura,,,,,Negative,
,,,,,,underseasoned coffee arrogant receptionist pleasant surroundings,,,Negative,Negative,Positive,
,,,,,,too loud room,,,,,Negative,
,,,,,,rotten ice cream irritating attendant airy style,,,Negative,Negative,Positive,
,,,,,,disorienting indoor,,,,,Negative,
,,,,,,stinky sushi disrespectful guide luxurious outlook,,,Negative,Negative,Positive,
,,,,,,harsh lighting atmosphere,,,,,Negative,
,,,,,,stringy guacamole untrustworthy team member cozy visuals,,,Negative,Negative,Positive,
,,,,,,unpleasant mood,,,,,Negative,
,,,,,,disgusting quiche unhelpful reservation modern lighting,,,Negative,Negative,Positive,
,,,,,,unpolished vibration,,,,,Negative,
,,,,,,unripe wrap awkward waitress tranquil decor,,,Negative,Negative,Positive,
,,,,,,uncomfortable lighting,,,,,Negative,
,,,,,,smelly main course unconsiderate remote service refreshing background,,,Negative,Negative,Positive,
,,,,,,stuffy ambience,,,,,Negative,
,,,,,,flavorless sandwich poor technician vibrant comfort,,,Negative,Negative,Positive,
,,,,,,dirty mood,,,,,Negative,
,,,,,,too salty dinner unconsiderate attendant relaxing vibe,,,Negative,Negative,Positive,
,,,,,,dirty sight,,,,,Negative,
,,,,,,burnt pasta unpleasant chatbot charming visuals,,,Negative,Negative,Positive,
,,,,,,harsh lighting outlook,,,,,Negative,
,,,,,,chewy appetizer disrespectful order confirmation relaxing view,,,Negative,Negative,Positive,
,,,,,,unpleasant interior,,,,,Negative,
,,,,,,stale fruit slow team member inviting charm,,,Negative,Negative,Positive,
,,,,,,unpleasant tone,,,,,Negative,
,,,,,,dry sushi rolls inefficient waiter comfortable art,,,Negative,Negative,Positive,
,,,,,,unbalanced charm,,,,,Negative,
,,,,,,greasy course overworked clerk peaceful ambiance,,,Negative,Negative,Positive,
,,,,,,dirty sight,,,,,Negative,
,,,,,,unfresh pasta impolite remote service comfortable space,,,Negative,Negative,Positive,
,,,,,,chaotic decor,,,,,Negative,
,,,,,,gummy pancakes unprofessional delivery rustic tone,,,Negative,Negative,Positive,
,,,,,,uncomfortable atmosphere,,,,,Negative,
,,,,,,over-sweetened fruit slow server refreshing outdoor,,,Negative,Negative,Positive,
,,,,,,isolated setting,,,,,Negative,
,,,,,,underseasoned snack cold call center homey outlook,,,Negative,Negative,Positive,
,,,,,,sterile structure,,,,,Negative,
,,,,,,burnt spread unaware waitstaff contemporary charm,,,Negative,Negative,Positive,
,,,,,,noisy feel,,,,,Negative,
,,,,,,inadequate cake awkward cleaner enticing environment,,,Negative,Negative,Positive,
,,,,,,unfriendly furniture,,,,,Negative,
,,,,,,flavorless sandwich hasty order confirmation fresh sight,,,Negative,Negative,Positive,
,,,,,,dark atmosphere,,,,,Negative,
,,,,,,unrefined course unreliable account manager inviting aura,,,Negative,Negative,Positive,
,,,,,,uninviting ambiance,,,,,Negative,
,,,,,,underseasoned fish unhelpful valet classy view,,,Negative,Negative,Positive,
,,,,,,soulless aura,,,,,Negative,
,,,,,,over-sweetened tacos overworked host welcoming charm,,,Negative,Negative,Positive,
,,,,,,harsh art,,,,,Negative,
,,,,,,stringy bread dismissive service representative tranquil energy,,,Negative,Negative,Positive,
,,,,,,chaotic room,,,,,Negative,
,,,,,,undercooked dessert impolite attendant charming vibration,,,Negative,Negative,Positive,
,,,,,,unpolished space,,,,,Negative,
,,,,,,disgusting guacamole careless remote service beautiful setting,,,Negative,Negative,Positive,
,,,,,,harsh charm,,,,,Negative,
,,,,,,unfresh gravy dismissive automated service beautiful mood,,,Negative,Negative,Positive,
,,,,,,dull space,,,,,Negative,
,,,,,,too salty spread overworked bellboy friendly space,,,Negative,Negative,Positive,
,,,,,,cold space,,,,,Negative,
,,,,,,cold side dish confused guide homey ambience,,,Negative,Negative,Positive,
,,,,,,stale room,,,,,Negative,
,,,,,,gross dessert disrespectful phone ordering chic art,,,Negative,Negative,Positive,
,,,,,,unwelcoming room,,,,,Negative,
,,,,,,lumpy salad impolite phone ordering spacious hospitality,,,Negative,Negative,Positive,
,,,,,,unappealing furnishing,,,,,Negative,
,,,,,,tough spaghetti unhelpful technician relaxing feel,,,Negative,Negative,Positive,
,,,,,,harsh lighting outdoor,,,,,Negative,
,,,,,,greasy pie disinterested pickup service spacious hospitality,,,Negative,Negative,Positive,
,,,,,,noisy coziness,,,,,Negative,
,,,,,,over-sweetened hamburger unconsiderate delivery welcoming room,,,Negative,Negative,Positive,
,,,,,,unappealing space,,,,,Negative,
,,,,,,gummy chocolate incompetent remote service intimate air,,,Negative,Negative,Positive,
,,,,,,cold setting,,,,,Negative,
,,,,,,chewy gravy awkward bartender enticing visuals,,,Negative,Negative,Positive,
,,,,,,disagreeable feelings,,,,,Negative,
,,,,,,unflavorful steak unprofessional customer inquiry contemporary energy,,,Negative,Negative,Positive,
,,,,,,disorienting structure,,,,,Negative,
,,,,,,unseasoned breakfast unpleasant support hotline intimate environment,,,Negative,Negative,Positive,
,,,,,,unsophisticated atmosphere,,,,,Negative,
,,,,,,unflavorful spaghetti clumsy support hotline refreshing structure,,,Negative,Negative,Positive,
,,,,,,unsightly mood,,,,,Negative,
,,,,,,awful spread disengaged concierge welcoming furnishing,,,Negative,Negative,Positive,
,,,,,,uncomfortable feel,,,,,Negative,
,,,,,,burnt spread disengaged service desk uplifting hospitality,,,Negative,Negative,Positive,
,,,,,,unfriendly indoor,,,,,Negative,
